dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""netstock_snop_forecast_actuals\""') TO 's3://gold-netstock/snop/stage/netstock_snop_forecast_actuals' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' PARALLEL OFF ALLOWOVERWRITE FORMAT AS CSV HEADER",1,11.71666,11.71666,11.71666,11.71666,0.00000,0,1349857,1349857,1349857,1349857,699121240,2025-02-28,1,1,default,0,0,,NL
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar0_mth_frq_exact_almost_es_dashboard_vw\""') TO 's3://gold-data-domo/dw/analytics/pillar0_mth_frq_exact_almost_es_dashboard_vw/pillar0_mth_frq_exact_almost_es_dashboard_vw_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,29.70000,29.70000,29.70000,29.70000,0.00000,0,1333283,1333283,1333283,1333283,703322980,2025-03-06,1,0,default,0,0,"daily_active_users, user_ds_product_attributes, user_subscription_daily, user_profile",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar5_domo_canvas_to_cut_user_conversion\""') TO 's3://gold-data-domo/dw/analytics/pillar5_domo_canvas_to_cut_user_conversion/pillar5_domo_canvas_to_cut_user_conversion_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,58.68333,58.68333,58.68333,58.68333,0.00283,1,1316503,1316503,1316503,1316503,701864755,2025-03-04,1,0,default,0,0,"firehose_events_enriched, engagement_cohorts, user_subscription_daily, user_profile, machine",Dist
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""user_machine_registration_cohort\""') TO 's3://gold-data-domo/dw/analytics/user_machine_registration_cohort/user_machine_registration_cohort_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,29.75000,29.75000,29.75000,29.75000,0.00000,0,1281239,1281239,1281239,1281239,703340287,2025-03-06,1,1,default,0,0,"retail_customer, product, machine, machine_registration, machine_serialization, user_profile, onboarding_base_events, dim_application, fact_image_cut, user_daily_metrics, mv_tbl__subscription_user_daily__0",Broacast Stats
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""user_machine_registration_cohort\""') TO 's3://gold-data-domo/dw/analytics/user_machine_registration_cohort/user_machine_registration_cohort_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,58.46666,58.46666,58.46666,58.46666,0.00000,0,1271490,1271490,1271490,1271490,703352423,2025-03-06,1,0,default,0,0,"user_daily_metrics, mv_tbl__subscription_user_daily__0, retail_customer, product, machine, machine_registration, machine_serialization, user_profile, onboarding_base_events, dim_application, fact_image_cut",Broacast
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""user_machine_registration_cohort\""') TO 's3://gold-data-domo/dw/analytics/user_machine_registration_cohort/user_machine_registration_cohort_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,40.60000,40.60000,40.60000,40.60000,0.00000,0,1268985,1268985,1268985,1268985,702661548,2025-03-05,1,0,default,0,0,"mv_tbl__subscription_user_daily__0, user_daily_metrics, retail_customer, product, machine, machine_registration, machine_serialization, user_profile, onboarding_base_events, dim_application, fact_image_cut",Broacast
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""image_cut_daily\""') TO 's3://gold-data-domo/dw/analytics/image_cut_daily/image_cut_daily_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,43.56666,43.56666,43.56666,43.56666,0.00383,0,1252173,1252173,1252173,1252173,698987058,2025-02-28,1,0,default,0,0,image,
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar5_domo_canvas_to_cut_user_conversion\""') TO 's3://gold-data-domo/dw/analytics/pillar5_domo_canvas_to_cut_user_conversion/pillar5_domo_canvas_to_cut_user_conversion_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,48.35000,48.35000,48.35000,48.35000,0.43866,17,1210954,1210954,1210954,1210954,699023591,2025-02-28,1,0,default,0,0,"machine, firehose_events_enriched, engagement_cohorts, user_subscription_daily, user_profile",Dist
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""budget_variance_analysis\""') TO 's3://gold-data-domo/dw/analytics/budget_variance_analysis/budget_variance_analysis_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",3,89.13333,126.68333,102.43888,307.31666,0.00000,0,1040979,1073039,1059928,3179786,703281548,2025-03-06,3,0,default,0,0,"general_ledger_detail, currency",NL Broacast
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""budget_variance_analysis\""') TO 's3://gold-data-domo/dw/analytics/budget_variance_analysis/budget_variance_analysis_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",4,69.83333,101.31666,84.90416,339.61665,0.00016,0,1030515,1058878,1048171,4192687,702569359,2025-03-05,4,0,default,0,0,"general_ledger_detail, currency",NL Broacast
