dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
dw,app_matillion,"CREATE TABLE analytics.mv_tbl__subscription_user_daily__0__tmp BACKUP YES AS ( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_ev",1,203.73333,203.73333,203.73333,203.73333,0.00000,0,4498912,4498912,4498912,4498912,700403820,2025-03-02,1,0,default,0,0,"subscription_plans, subscription_type, date",NL
dw,app_matillion_data_ops,"SELECT COUNT(*) AS row_count FROM (SELECT event_id_hash, COUNT(*) AS row_count FROM fact.event_client_mat_item_cut_pass_end GROUP BY event_id_hash HAVING COUNT(*) > 1)",2,26.53333,37.98333,32.25833,64.51666,0.00000,0,3757265,4629628,4193446,8386893,699909243,2025-03-02,1,1,default,0,0,event_client_mat_item_cut_pass_end,
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""user_machine_registration_cohort\""') TO 's3://gold-data-domo/dw/analytics/user_machine_registration_cohort/user_machine_registration_cohort_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,65.03333,65.03333,65.03333,65.03333,0.26350,3,3433016,3433016,3433016,3433016,701960118,2025-03-04,1,0,default,0,0,"mv_tbl__subscription_user_daily__0, user_daily_metrics, dim_application, fact_image_cut, user_profile, onboarding_base_events, machine, machine_registration, retail_customer, product, machine_serialization",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar4_es_hva_metrics\""') TO 's3://gold-data-domo/dw/analytics/pillar4_es_hva_metrics/pillar4_es_hva_metrics_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,76.03333,76.03333,76.03333,76.03333,0.00000,0,3432011,3432011,3432011,3432011,703365288,2025-03-06,1,1,default,0,0,"user_ds_product_attributes, user_subscription_daily, active_users_split_counts_cube_weekly",Dist
dw,app_matillion,"INSERT INTO analytics.mv_tbl__subscription_user_daily__0( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_event\"".\""provider_plan",3,30.21666,114.66666,78.63888,235.91665,0.00000,0,203189,4690231,3184441,9553323,702665835,2025-03-05,3,3,default,0,0,"subscription_type, subscription_plans, date",NL
dw,app_matillion_data_ops,"SELECT COUNT(*) AS row_count FROM (SELECT event_timestamp, user_id, image_id, mat_id, path_id, pass_number, COUNT(*) AS row_count FROM cricut_dw.fact_event_client_cut_mat_item_cut_pass_end GROUP BY event_timestamp, user_id, image_id, mat_id, path_id, pass_number HAVING COUNT(*) > 1)",1,29.16666,29.16666,29.16666,29.16666,0.00000,0,3163683,3163683,3163683,3163683,699883692,2025-03-02,1,0,default,0,0,fact_event_client_cut_mat_item_cut_pass_end,
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""warp_sticker_analysis_without_clientsource\""') TO 's3://gold-data-domo/dw/analytics/warp_sticker_analysis_without_clientsource/warp_sticker_analysis_without_clientsource_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",2,36.85000,38.28333,37.56666,75.13333,0.00150,1,2976145,3035933,3006039,6012078,701928606,2025-03-04,2,0,default,0,0,"active_users_split_counts_cube_daily, user_subscription_daily, user_ds_product_attributes, firehose_events_enriched",Dist
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""netstock_snop_forecast_actuals\""') TO 's3://gold-netstock/snop/stage/netstock_snop_forecast_actuals' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' PARALLEL OFF ALLOWOVERWRITE FORMAT AS CSV HEADER",7,100.66666,1440.26666,951.08332,6657.58330,1.16933,3,2917854,2995306,2968365,20778561,702079686,2025-03-04,4,7,default,0,0,,NL Dist
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar4_es_hva_metrics\""') TO 's3://gold-data-domo/dw/analytics/pillar4_es_hva_metrics/pillar4_es_hva_metrics_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",5,29.63333,38.86666,36.05999,180.29997,0.61199,5,0,3409152,2608659,13043297,702718978,2025-03-05,4,1,default,0,0,"active_users_split_counts_cube_weekly, user_subscription_daily, user_ds_product_attributes",Dist
data_lake,app_matillion_data_ops,"SELECT COUNT(*) AS row_count FROM (SELECT event_id_hash, COUNT(*) AS row_count FROM events.firehose_v2_2020 GROUP BY event_id_hash HAVING COUNT(*) > 1)",1,25.53333,25.53333,25.53333,25.53333,0.00233,1,2591189,2591189,2591189,2591189,701420903,2025-03-04,1,0,default,0,0,,
