share_type,share_name,include_new,producer_account,object_type,namespace,object_name,table_rows,last_vacuum_date,is_last_vacuum_recluster,num_insert_operation,total_inserted_rows,last_insert_date,num_delete_operation,total_deleted_rows,last_delete_date,is_mv_stale,is_mv_incremental_refresh,is_mv_auto_refresh
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,telerik_users,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,designer_metrics,image_earnings_details,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,cut_session_windows,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,entitlement_role,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,subscription_provider,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,entitlement,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,pyrope_a_msk_cluster,int_subscriptions_v0_survey,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,user_machine,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,pyrope_a_msk_cluster,int_content_v1_userimagechanged,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,designer_metrics,payments,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,workflow_status,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,entitlement_cartridge_set_items,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,company_agreement,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,font_family,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,communication_domain,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,manufacturer,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,materials,user_machine_type_preferences,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose_v2_2021,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,designer_metrics,designer_associations,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,duration_type,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,material_settings_dial_global,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,interaction,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,entitlement_role_user,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut_internal,image_metadata,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,pyrope_a_msk_cluster,int_projects_v0_project,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,machine_type,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,workflow_type,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,sf_cricut,esf_order_status_type_lookup,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,price_tier,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,communication,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,community,mongodb_community_projects,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,sf_cricut,esf_order,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,image_reject_reason,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,pyrope_a_msk_cluster,int_personalization_v0_awsrecommendationsretrieved,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut_internal,zip_core_based_statistical_area,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose_v2_2024_ino,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,project_cuts_per_engaged_user,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose_v2_2024_ooo_far,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,machine_type_serial_pattern,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,user_subscription,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut_internal,core_based_statistical_area_population_estimate_2022,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,region,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose_v2_2020,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut_internal,msf_adjustment,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,sf_cricut,esf_store,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,pyrope_a_msk_cluster,int_content_v2_userimagechanged,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,sf_cricut,telerik_users,,,,,,,,,,,,
