dbname,namespace,table_name,encoded,diststyle,sortkey1,max_varchar,sortkey1_enc,sortkey_num,unsorted,stats_off,tbl_rows,skew_rows,estimated_visible_rows,num_rows_marked_for_deletion,pct_rows_marked_for_deletion,vacuum_sort_benefit,vacuum_run_type,is_last_vacuum_recluster,last_vacuumed_date,days_since_last_vacuumed,query_count,table_recommendation_count,encoded_column_count,column_count,encoded_column_pct,encoded_sortkey_count,distkey_column_count,large_column_size_count,sort_key_alert_sample_query,sort_key_alert_query_count,stats_alert_sample_query,stats_alert_query_count,nl_alert_sample_query,nl_alert_query_count,distributed_alert_sample_query,distributed_alert_query_count,distributed_alert_sample_query,broadcasted_alert_query_count,deleted_alert_sample_query,deleted_alert_query_count
dw,fact,udm_visitors_v2,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(user_id)),65535,none,1,0.00,0.00,13673590888,1.00,13673590784,104,0.0000,0.00,,,,,1,0,16,29,55.1724,0,1,1,701864755,2,,0,,0,,0,,0,,0
dw,public,udm_visitors_temp,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,0,none,1,0.00,0.00,13614624283,1.00,13614624768,0,0.0000,0.00,,,,,5,0,1,12,8.3333,0,1,0,702573031,5,,0,,0,,0,,0,,0
dw,public,stage_engagement_kpi_dashboard_cumulative_visitors_cutters_data_with_registration_year_v2,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,50,none,1,0.00,0.00,13067269639,1.00,13067270144,0,0.0000,0.00,,,,,1,0,4,16,25.0000,0,1,0,,0,,0,,0,,0,,0,,0
dw,public,stage_engagement_kpi_dashboard_cumulative_visitors_cutters_cuts_data_v2,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,50,none,1,0.00,0.00,13067269639,1.00,13067270144,0,0.0000,0.00,,,,,1,0,8,25,32.0000,0,1,0,,0,,0,,0,,0,,0,,0
dw,analytics,user_subscription_daily,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(user_id)),14,none,2,6.54,43.17,12957842623,1.00,12475288576,482554047,0.0372,0.00,Automatic,N,2025-03-02,4,183,0,7,8,87.5000,1,1,0,703252331,52,,0,,0,703365288,43,702645974,3,,0
dw,public,udm_visitors_v2_stage_matln,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(user_id)),65535,none,1,0.00,0.00,12543770294,1.00,12543770624,0,0.0000,0.00,,,,,1,0,16,29,55.1724,0,1,1,,0,,0,,0,,0,,0,,0
dw,public,udm_registrations_temp,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,0,none,1,0.00,0.00,9419459443,1.00,9419459584,0,0.0000,0.00,,,,,1,0,2,4,50.0000,0,1,0,,0,,0,,0,,0,,0,,0
dw,analytics,project_and_cut_events_with_parent_project_classification,Y,KEY(user_id),event_date_id,2048,none,2,0.00,0.00,7927279448,1.02,7927279616,0,0.0000,0.00,Manual,Y,2025-02-28,6,134,0,33,35,94.2857,0,1,5,,0,,0,,0,,0,,0,,0
dw,stage,project_and_cut_events_with_parent_project_classification,Y,KEY(user_id),event_date_id,2048,none,2,97.92,100.00,7792661285,1.02,7792662016,0,0.0000,0.00,,,,,1,0,33,35,94.2857,0,1,5,,0,,0,,0,,0,,0,,0
dw,analytics,fact_image_cut,Y,AUTO(KEY(date_id)),AUTO(SORTKEY(user_id)),500,none,2,1.20,0.00,6123254768,1.22,6074621440,48633328,0.0079,2.00,Automatic,N,2025-02-27,7,114,0,15,16,93.7500,1,1,0,703367390,40,,0,,0,703363887,38,,0,,0
dw,analytics,fact_image_cut,Y,AUTO(KEY(date_id)),AUTO(SORTKEY(user_id)),500,none,2,1.20,0.00,6123254768,1.22,6074621440,48633328,0.0079,2.00,Manual,N,2025-02-28,6,114,0,15,16,93.7500,1,1,0,703367390,40,,0,,0,703363887,38,,0,,0
dw,public,udm_usd_subscriptions_temp,"Y, AUTO(ENCODE)",KEY(user_id),date_id,14,none,1,0.00,0.00,5774276229,1.00,5774276096,133,0.0000,0.00,,,,,1,0,2,3,66.6666,0,1,0,,0,,0,,0,,0,,0,,0
dw,fact,statsig_cut_session,Y,KEY(user_id),cut_session_start_date,65535,az64,1,0.00,100.00,5752035340,1.03,5752035328,12,0.0000,0.00,,,,,33,0,11,11,100.0000,1,1,2,,0,,0,,0,,0,,0,,0
dw,analytics,statsig_cut_session,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY),65535,,0,,0.00,5358447522,1.03,5358447616,0,0.0000,,Manual,N,2025-02-28,6,2,0,10,10,100.0000,0,1,2,,0,,0,,0,,0,,0,,0
dw,public,onboarding_jv_sessions_2020_2025_1,"Y, AUTO(ENCODE)",KEY(user_id),session_id,255,none,2,74.99,100.00,5186101001,2.26,5186101248,0,0.0000,0.00,,,,,1,0,3,5,60.0000,0,1,0,,0,,0,,0,,0,,0,,0
dw,analytics,subscription_user_daily,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(user_id)),255,none,1,100.00,100.00,4872208543,1.00,4872208384,159,0.0000,0.00,,,,,0,0,0,29,0.0000,0,0,0,,0,,0,,0,,0,,0,,0
dw,analytics,project_pdp_to_cut_funnel,Y,KEY(user_id),event_date_id,12297,none,2,7.32,28.51,4093552890,1.01,3913256704,180296186,0.0440,0.00,Automatic,N,2025-03-05,1,194,0,44,51,86.2745,1,1,7,699176647,6,,0,,0,,0,,0,,0
dw,analytics,project_pdp_to_cut_funnel,Y,KEY(user_id),event_date_id,12297,none,2,7.32,28.51,4093552890,1.01,3913256704,180296186,0.0440,0.00,Manual,Y,2025-02-28,6,194,0,44,51,86.2745,1,1,7,699176647,6,,0,,0,,0,,0,,0
dw,analytics,monthly_active_users,Y,KEY(user_id),rolling_end_date,25,none,2,2.60,10.90,3988049405,1.00,3904385280,83664125,0.0209,1.00,Manual,Y,2025-02-28,6,170,0,3,5,60.0000,0,1,0,702251703,4,,0,,0,702640941,6,,0,,0
dw,stage,subscription_user_daily_subscription_by_date,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY),255,,0,,0.00,3777939207,1.00,3777939200,7,0.0000,,,,,,1,0,20,28,71.4285,0,1,0,,0,,0,,0,,0,,0,,0
dw,stage,subscription_user_daily_subscription_rank,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(date_id)),255,none,4,0.00,0.00,3777939207,1.00,3777939200,7,0.0000,0.00,,,,,1,0,17,29,58.6206,0,1,0,,0,,0,,0,,0,,0,,0
dw,stage,subscription_user_daily,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(date_id)),255,none,2,0.00,0.00,3746028575,1.00,3746028544,31,0.0000,0.00,,,,,1,0,17,26,65.3846,0,1,0,,0,,0,,0,,0,,0,,0
dw,stage,subscription_user_daily_user_event,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY(date_id)),255,none,2,0.00,0.00,3746028575,1.00,3746028544,31,0.0000,0.00,,,,,1,0,17,27,62.9629,0,1,0,,0,,0,,0,,0,,0,,0
dw,stage,subscription_user_daily_daily_status,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),0,,0,,0.00,3746028575,,3746028544,31,0.0000,,,,,,1,0,5,5,100.0000,0,0,0,,0,,0,,0,,0,,0,,0
dw,fact,marketing_communication,"Y, AUTO(ENCODE)",KEY(market_journey_action_id),communication_timestamp,100,none,1,3.02,11.03,3688880887,1.30,3649636096,39244791,0.0106,0.00,Automatic,N,2025-03-06,0,172,0,5,6,83.3333,0,1,0,703109992,3,,0,,0,703110127,11,,0,,0
dw,public,onboarding_jv_test_sessions_complete_new,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),512,,0,,0.00,3644157664,,3644157696,0,0.0000,,,,,,1,0,5,5,100.0000,0,0,0,,0,,0,,0,,0,,0,,0
dw,fact,marketing_journey_engagement,"Y, AUTO(ENCODE)",AUTO(KEY(communication_id)),AUTO(SORTKEY(dw_load_date)),100,az64,1,1.75,11.18,3635176199,1.00,3624349696,10826503,0.0029,0.00,Automatic,N,2025-03-06,0,239,0,18,18,100.0000,1,1,0,703117632,40,,0,,0,702128234,16,,0,,0
dw,analytics,project_conversion_fact,Y,KEY(user_id),event_date_id,12297,none,3,6.53,25.28,3582625831,1.01,3441950464,140675367,0.0392,1.00,Manual,Y,2025-02-28,6,224,0,56,63,88.8888,1,1,7,703090364,13,,0,,0,702303381,10,,0,,0
dw,analytics,project_conversion_fact,Y,KEY(user_id),event_date_id,12297,none,3,6.53,25.28,3582625831,1.01,3441950464,140675367,0.0392,1.00,Automatic,N,2025-03-05,1,224,0,56,63,88.8888,1,1,7,703090364,13,,0,,0,702303381,10,,0,,0
dw,fact,marketing_interaction,"Y, AUTO(ENCODE)",KEY(market_journey_action_id),interaction_timestamp,100,none,1,3.23,12.51,3066043303,1.46,3003669760,62373543,0.0203,0.00,Automatic,N,2025-03-06,0,170,0,5,6,83.3333,0,1,0,698766956,1,,0,,0,703110096,9,,0,,0
dw,analytics,user_subscription_by_day,"Y, AUTO(ENCODE)",KEY(user_id),date_id,14,none,1,0.00,0.00,3006458935,1.00,3006458880,55,0.0000,0.00,,,,,1,0,2,3,66.6666,0,1,0,,0,,0,,0,,0,,0,,0
dw,fact,project_search_events,Y,KEY(user_id),date_id,65535,az64,1,1.19,9.86,2760920665,1.01,2728593408,32327257,0.0117,0.00,Automatic,N,2025-03-01,5,134,0,39,39,100.0000,1,1,34,,0,,0,,0,699883123,1,,0,,0
