workload_exec_hour,service_class_category,service_class,queue_name,concurrency_scaling_status,dbname,query_type,total_query_count,completed_query_count,user_aborted_count,wlm_evicted_count,total_est_peak_mem_gb,total_disk_spill_count,total_compile_count,total_disk_spill_gb,total_query_alert_count,total_called_proc_count,avg_query_execution_time_secs,max_query_execution_time_secs,total_query_execution_time_secs,avg_compile_time_secs,max_compile_time_secs,total_compile_time_secs,avg_query_queue_time_secs,max_query_queue_time_secs,total_query_queue_time_secs,avg_actual_execution_time_secs,total_actual_execution_time_secs,total_query_cpu_time_secs,total_cs_usage_limit_count,total_scan_row_count,total_return_row_count,total_nl_join_row_count
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_dw,CTAS,4,4,0,0,2.5889,0,0,0.0195,2,0,400.506775,888.098048,1602.027103,0.000250,0.001000,0.001000,75.000000,162.000000,300.000000,325.506525,1302.026103,4279.000000,0,4349300829,0,4338852
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_dw,INSERT,1,1,0,0,7.6826,1,0,674.8037,1,0,5716.432975,5716.432975,5716.432975,0.001000,0.001000,0.001000,1023.000000,1023.000000,1023.000000,4693.431975,4693.431975,12008.000000,0,16470817323,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_dw,UNLOAD,36,36,0,0,3.8916,2,0,0.0000,36,0,5.695992,20.129163,205.055720,0.000361,0.001000,0.013000,0.666666,3.000000,24.000000,5.028964,181.042720,531.000000,0,13476488701,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_dw,UPDATE,3,3,0,0,0.0615,0,0,0.0000,1,0,24.211424,68.399807,72.634272,0.000333,0.001000,0.001000,22.666666,68.000000,68.000000,1.544424,4.633272,1.000000,0,55,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_personalization,COPY,30,30,0,0,0.5329,0,0,2.3642,0,0,3.091710,9.554486,92.751316,0.000233,0.001000,0.007000,0.700000,3.000000,21.000000,2.391477,71.744316,109.000000,0,50094,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_statsig,COPY,2,2,0,0,0.0117,0,0,0.0000,0,0,1.664261,2.481715,3.328523,0.000500,0.001000,0.001000,0.000000,0.000000,0.000000,1.663761,3.327523,2.000000,0,5415,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_statsig,CTAS,43,43,0,0,33.2829,10,1,2085.1913,26,0,322.042539,1765.703532,13847.829212,0.002465,0.086000,0.106000,204.651162,1381.000000,8800.000000,117.388911,5047.723212,20753.000000,0,56649981088,0,1116215120
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_statsig,DELETE,13,13,0,0,0.0508,0,0,0.0000,10,0,0.939089,1.877249,12.208169,0.000153,0.001000,0.002000,0.000000,0.000000,0.000000,0.938936,12.206169,7.000000,0,102392193,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_statsig,INSERT,27,27,0,0,3.2168,2,0,1.5566,9,0,21.353459,132.679557,576.543410,0.000481,0.001000,0.013000,14.777777,126.000000,399.000000,6.575200,177.530410,181.000000,0,228647608,0,0
2025-02-27 01:00:00,Auto WLM,100,Default queue,main,prd_statsig,OTHER,2,2,0,0,0.0078,0,0,0.0000,0,0,0.050049,0.057137,0.100098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050049,0.100098,0.000000,0,0,0,0
