dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
prd_statsig,distinct_metrics_ia_single_cta_pdp,469.43427900,69349739,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1872196,65
prd_statsig,windowed_metrics_projects_search_hybrid_semantic_all,464.49342600,34732734,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1862115,12
prd_statsig,t_rslocal_localhost@2251005@722713@,456.59142000,37880343,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1704698,5
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7510824@81334900@,440.39798200,381847,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1881815,11292
prd_statsig,unit_day_metrics_projects_search_hybrid_semantic,414.18760100,133091581,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1862135,18
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@46686395@80823173@,411.42081400,0,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1569120,2
prd_statsig,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7509501@81334900@,410.46978300,24020231,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1877150,88
prd_statsig,ratio_aggregations_ia_single_cta_pdp,409.32418200,55222288,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1872196,45
prd_statsig,t_rslocal_localhost@850611@693658@,393.03128900,10700,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1579049,38
prd_dw,project_master_fact,392.91595100,133571567,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1851022,8
prd_statsig,t_rslocal_localhost@1781078@693658@,391.03262100,141094,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1587859,32
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7766066@81260370@,389.60288200,3772468,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1568658,1
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@6849701@81334900@,380.63023700,98219164,Broadcasted a large number of rows across the network,Review the choice of distribution key to collocate the join and consider using distributed tables,1810738,5
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7766066@81545141@,379.51128100,3739759,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1740782,1
